date,ticker,revenue,gross_profit,operating_profit,net_income,eps,total_assets,total_liabilities,equity,total_debt,operating_cash_flow,capital_expenditure,interest_expense,tax_rate,receivables,inventory,payble,current_assets,current_liabilities,COGS,roe,roa,pe,pb,shares_outstanding,market_cap,risk_free_rate,market_risk_premium,gross_profit_margin,revenue_growth,net_profit_margin,receivable_turnover,days_sales_outstanding,inventory_turnover,days_inventory_outstanding,payable_turnover,days_payable_outstanding,cash_conversion_cycle,current_ratio,debt_to_equity,interest_coverage,fcff,fcfe,latest_event_type,latest_sentiment,news_article_count,pe_1y_avg,pe_5y_avg,pb_1y_avg,pb_5y_avg,pe_industry,pb_industry,dcf_intrinsic_price,dcf_upside,dcf_invalid_reason,dcf_is_valid
2025-03-31,MSFT,70066000000.0,48147000000.0,32000000000.0,25824000000.0,3.47,562624000000.0,240733000000.0,321891000000.0,60567000000.0,37044000000.0,-16745000000.0,594000000.0,0.17697676642126398,51700000000.0,848000000.0,26250000000.0,156644000000.0,114206000000.0,21919000000.0,0.08022591498364354,0.045899215106358776,24.819048,7.4754825,7433982235.0,3097360072704.0,0.045,0.055,0.6871663859789342,,0.3685667798932435,,,,,,,,1.3715916852004273,0.18815996719386377,53.872053872053876,20768260000.0,,,,0,24.819048,24.819048,7.4754825,7.4754825,107.2429070678004,8.603660345020138,,,insufficient_fcfe_history,False
2025-06-30,MSFT,76441000000.0,52427000000.0,34323000000.0,27233000000.0,3.66,619003000000.0,275524000000.0,343479000000.0,60588000000.0,42647000000.0,-17079000000.0,615000000.0,0.16504169732646554,69905000000.0,938000000.0,27724000000.0,191131000000.0,141218000000.0,24014000000.0,0.07928577875212167,0.043994940250693455,24.819048,7.4754825,7434158655.0,3097360072704.0,0.045,0.055,0.6858492170432098,0.09098564210886884,0.3562616920239139,1.2572015953291393,290.3273439646263,26.89137737961926,13.573124010993586,0.8931707859339683,408.65644706272815,-104.75597908710824,1.3534464445042416,0.17639506345366093,55.80975609756098,26053850000.0,25589000000.0,,,0,24.819048,24.819048,7.4754825,7.4754825,135.00047782089342,10.703618015938066,,,insufficient_fcfe_history,False
2025-09-30,MSFT,77673000000.0,53630000000.0,37961000000.0,27747000000.0,3.73,636351000000.0,273275000000.0,363076000000.0,60556000000.0,45057000000.0,-19394000000.0,698000000.0,0.191073146555494,52894000000.0,1130000000.0,32580000000.0,189066000000.0,134996000000.0,24043000000.0,0.07642201632716016,0.04360329440827468,24.819048,7.4754825,7433087554.0,3097360072704.0,0.045,0.055,0.6904587179586213,0.016117005272039853,0.35722838051832684,1.2650428749419784,288.52777026766057,23.252417794970988,15.69729235120409,0.8037609445476254,454.11512275634414,-149.89006013747945,1.4005303860855136,0.16678601725258624,54.38538681948424,26214420000.0,25631000000.0,,,0,24.819048,24.819048,7.4754825,7.4754825,138.17798604204893,10.55984030535957,,,insufficient_fcfe_history,False
2025-12-31,MSFT,81273000000.0,55295000000.0,38275000000.0,38458000000.0,5.18,665302000000.0,274427000000.0,390875000000.0,57607000000.0,35758000000.0,-29876000000.0,736000000.0,0.20287692243916594,56535000000.0,1059000000.0,37328000000.0,180190000000.0,130005000000.0,25978000000.0,0.09838951071314359,0.05780532750540356,24.819048,7.4754825,7428838066.0,3097360072704.0,0.045,0.055,0.6803612515841669,0.04634815186744423,0.473195280105324,1.48540149320564,245.72481020757203,23.735038830516217,15.37810839941489,0.7411741145505522,492.46188288879455,-231.35896428180763,1.3860236144763662,0.14737959705788295,52.00407608695652,6463440000.0,2933000000.0,,,0,24.819048,24.819048,7.4754825,7.4754825,93.20695598976512,9.170586794894499,,,insufficient_fcfe_history,False
2026-03-31,MSFT,82886000000.0,56058000000.0,38398000000.0,31778000000.0,4.28,694228000000.0,279861000000.0,414367000000.0,56965000000.0,46679000000.0,-30876000000.0,778000000.0,0.1922216573462125,60041000000.0,1219000000.0,37513000000.0,175329000000.0,136661000000.0,26828000000.0,0.07669047004225722,0.045774587023283415,24.819048,7.4754825,7429000000.0,3097360072704.0,0.045,0.055,0.6763265207634582,0.0198466895524958,0.3833940593103781,1.4220079604721383,256.67929445262166,23.55399473222125,15.49630982555539,0.7212089630015633,506.09465317919074,-233.9190489010137,1.2829483173692569,0.137474750643753,49.354755784061695,16417620000.0,15161000000.0,,,0,24.819048,24.819048,7.4754825,7.4754825,86.53763703677508,6.636612060696529,284.1324165656424,-0.3193129044474225,,True
