date,ticker,open,high,low,close,adj_close,volume,daily_return,log_return,is_outlier,cum_return_7,cum_return_30,cum_return_90,cum_return_ytd,ma20,ma50,ma200,ma20_signal,ma50_signal,ma200_signal,rsi_14,macd_line,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,volume_spike,gap_up,gap_down,sudden_price_movement,volatility_30,volatility_60,beta,var_95,var_99,drawdown,max_drawdown,sharpe_ratio,relative_strength
2025-03-06,HPG,20533.703695343862,20794.09375,20533.703695343862,20794.09375,20794.09375,48807792.0,,,False,,,,0.0,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0
2025-03-07,HPG,20831.293332951805,20905.691042048195,20645.299060210822,20868.4921875,20868.4921875,43733184.0,0.003577863906668144,0.0035714785776272693,False,,,,0.003577863906668144,,,,SELL,SELL,SELL,,,,,,,,False,True,False,False,,,,,,0.0,0.0,,0.9921594305400977
2025-03-10,HPG,20905.690309735433,20980.08801622572,20794.09375,20794.09375,20794.09375,31126260.0,-0.0035651084338792494,-0.0035714785776273096,False,,,,0.0,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.0035651084338792745,-0.0035651084338792745,,0.9829527510992997
2025-03-11,HPG,20533.703213833585,20942.888671875,20533.703213833585,20942.888671875,20942.888671875,34436820.0,0.00715563388642515,0.007130153816761131,False,,,,0.00715563388642515,,,,SELL,SELL,SELL,,,,,,,,False,False,True,False,,,,,,0.0,-0.0035651084338792745,,0.9895894687437302
2025-03-12,HPG,20980.088885161527,20980.088885161527,20682.498046875,20682.498046875,20682.498046875,27246912.0,-0.012433367195886835,-0.01251130822595058,False,,,,-0.005366701933090967,,,,SELL,SELL,SELL,,,,,,,,False,True,False,False,,,,,,-0.012433367195886804,-0.012433367195886804,,0.9734586768259884
2025-03-13,HPG,20719.696169790583,20868.49158367803,20608.099609375,20608.099609375,20608.099609375,32748408.0,-0.003597168839633569,-0.003603654208780279,False,,,,-0.008944565839759222,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.015985811114471563,-0.015985811114471563,,0.9641043400752568
2025-03-14,HPG,20608.100506589188,20719.69707186335,20496.505859375,20496.505859375,20496.505859375,24129468.0,-0.0054150432167570095,-0.005429757707050525,False,,,,-0.01431117384593883,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.02131429047318885,-0.02131429047318885,,0.9598186811738105
2025-03-17,HPG,20756.894164432735,20942.88842409641,20645.29760863453,20719.6953125,20719.6953125,26030004.0,0.010889146406528383,0.010830286555323478,False,-0.003577863906668255,,,-0.003577863906668255,,,,SELL,SELL,SELL,,,,,,,,False,True,False,False,,,,,,-0.010657238496174353,-0.02131429047318885,,0.966764776044377
2025-03-18,HPG,20756.894320211635,20868.490876847365,20533.703125,20533.703125,20533.703125,24739044.0,-0.008976588926372542,-0.00901712124437522,False,-0.016042800768353294,,,-0.012522335819516006,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.019538161773476396,-0.02131429047318885,,0.9640275661564514
2025-03-19,HPG,20533.70448270064,20533.70448270064,20161.71593598544,20273.3125,20273.3125,50061792.0,-0.012681133228373831,-0.012762225085525632,False,-0.025044671639032123,,,-0.025044671639032123,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.0319715289693632,-0.0319715289693632,,0.9625368604402409
