date,ticker,revenue,gross_profit,operating_profit,net_income,eps,total_assets,total_liabilities,equity,total_debt,operating_cash_flow,capital_expenditure,interest_expense,tax_rate,receivables,inventory,payble,current_assets,current_liabilities,COGS,roe,roa,pe,pb,shares_outstanding,market_cap,risk_free_rate,market_risk_premium,gross_profit_margin,revenue_growth,net_profit_margin,receivable_turnover,days_sales_outstanding,inventory_turnover,days_inventory_outstanding,payable_turnover,days_payable_outstanding,cash_conversion_cycle,current_ratio,debt_to_equity,interest_coverage,fcff,fcfe,latest_event_type,latest_sentiment,news_article_count,pe_1y_avg,pe_5y_avg,pb_1y_avg,pb_5y_avg,pe_industry,pb_industry,dcf_intrinsic_price,dcf_upside,dcf_invalid_reason,dcf_is_valid
2025-03-31,HPG,37621674553578.0,5424153925132.0,4339094411460.0,3344284694388.0,504.14093,228861587788307.0,110864708699178.0,117700932170362.0,89041478690313.0,3313408213639.0,-4547636827577.0,627024360692.0,0.12760152988542633,7405241282190.0,46603844415849.0,11710046001326.0,88914195573724.0,77298523955478.0,32197520628446.0,0.0284134087361979,0.014612695501708243,7.634168,1.3246653,8443050264.0,169627787198464.0,0.045,0.055,0.14417630234420645,,0.08889249971117894,,,,,,,,1.1502702900890622,0.7565061469643511,6.920136893359718,-738879368991.3198,,,,0,7.634168,7.634168,1.3246653,1.3246653,107.86145168872075,2.349900209863877,,,insufficient_fcfe_history,False
2025-06-30,HPG,35910519111209.0,6589722485709.0,5442064704912.0,4256487211764.0,504.14093,242224530919050.0,119865026005768.0,121534257223755.0,90591327760300.0,3313408213639.0,-4547636827577.0,439112631420.0,0.1423581646574774,8193996548327.0,48853408114115.0,18548121348160.0,97606077663535.0,86411629011696.0,29320796625500.0,0.035022941753183566,0.017572486137609623,7.634168,1.3246653,8443050264.0,169627787198464.0,0.045,0.055,0.18350396064455954,-0.04548323440340485,0.11853037263489162,4.604137651001995,79.2765177037149,0.6143230786219457,594.1499069492405,2.0867331427659837,174.91455544535475,498.51186920760074,1.129547941404088,0.7453974692379416,12.39332306910298,-887329635116.2002,315620456049.0,,,0,7.634168,7.634168,1.3246653,1.3246653,85.1127940040874,2.1215953432261445,,,insufficient_fcfe_history,False
2025-09-30,HPG,36407416403924.0,6087261275166.0,4571024716176.0,4012252316723.0,504.14093,246171338287652.0,119865026005768.0,127516012099269.0,68482383626253.0,0.0,-13174576334243.0,-812194101705.0,-0.13310699444026983,13727194725111.0,45623656431728.0,8529818586842.0,95425988115582.0,83163272833172.0,-30320155128758.0,0.03146469412484082,0.016298616827742432,7.634168,1.3246653,8443050264.0,169627787198464.0,0.045,0.055,0.16719838638453657,0.013837095787342601,0.11020425817116093,3.3216640418661023,109.88468291782571,-0.6418521844324616,-568.6667566968557,-2.47802505594431,-147.29471726867106,-311.48735651035895,1.1474534955714089,0.5370492889390287,5.627995458942964,-12532942993896.05,-35283520468290.0,,,0,7.634168,7.634168,1.3246653,1.3246653,85.1127940040874,2.1215953432261445,,,insufficient_fcfe_history,False
2025-12-31,HPG,46176484549771.0,6396650497175.0,5714129019562.0,3860994446656.0,457.300575,257899200817547.0,126679189940972.0,129180998100172.0,92174151302217.0,8564297977440.0,-1885559821997.0,1236524775157.0,0.1547304609342993,10971774018235.0,52828227344442.0,21183376049432.0,103659402759724.0,94186268324508.0,39779834052596.0,0.02988825371717622,0.014970943819975206,7.634168,1.3246653,8443012440.0,169627787198464.0,0.045,0.055,0.1385261472271761,0.2683263222378529,0.08361386719455557,3.739142717220623,97.61595841715064,0.8081071184587043,451.6727939436561,3.1625279974406544,115.4139980089929,433.8747543518138,1.1005787213331077,0.7135271646588576,4.621119717424573,7655592727817.029,30370505831407.0,,,0,7.634168,7.634168,1.3246653,1.3246653,104.69235706975464,1.859582172636086,,,insufficient_fcfe_history,False
2026-03-31,HPG,52900847302653.0,8365068607995.0,6634197704291.0,8994003244142.0,1065.259978,259327500205228.0,119545707998756.0,138944576706408.0,90616821692319.0,6816755450021.0,-5489839982929.0,1333414699291.0,0.15854269588412243,10919196457706.0,43515585272210.0,17164200903296.0,104365180994071.0,86369839061570.0,44535778694658.0,0.06473086936776572,0.034682026537965614,7.634168,1.3246653,8443012440.0,169627787198464.0,0.045,0.055,0.15812730862583912,0.1456230983897051,0.17001624175669766,4.833120337062536,75.520569434412,0.9245176723878263,394.8004574723651,1.8370462710510458,198.68851740526344,271.63250950151365,1.2083521531129953,0.6521796232737728,4.975344660455985,2380313079531.8896,-230414142806.0,,,0,7.634168,7.634168,1.3246653,1.3246653,56.33673537067177,2.1535695410078644,-13141.672209383869,-1.5959942045072049,non_positive_annual_fcfe,False
2026-06-30,HPG,55158902298901.0,10487787193431.0,8462387126874.0,6371019004563.0,830.049814,278929786015406.0,137413759457075.0,140857850168391.0,98529977232553.0,5253680177765.0,-6703186347074.0,1519613868123.0,0.10580979182721162,12869807539960.0,55607877088316.0,26690134352803.0,119968988620841.0,105037075079739.0,44671115105470.0,0.045230130922391996,0.022840941785296148,7.634168,1.3246653,7675465855.0,169627787198464.0,0.045,0.055,0.19013770681292114,0.04268466596251952,0.11550300566242301,4.637344405365839,78.70884025298207,0.9013227351360036,404.96038296972944,2.58872499560607,140.9960504184596,342.67317280425186,1.1421585047923928,0.6994993684396262,5.568774610701987,-249011213491.83008,6463649370925.0,,,0,7.634168,7.634168,1.3246653,1.3246653,57.32399899701637,2.165031914761095,3953.1181851049887,-0.8207202637140595,,True
