date,ticker,open,high,low,close,adj_close,volume,daily_return,log_return,is_outlier,cum_return_7,cum_return_30,cum_return_90,cum_return_ytd,ma20,ma50,ma200,ma20_signal,ma50_signal,ma200_signal,rsi_14,macd_line,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,volume_spike,gap_up,gap_down,sudden_price_movement,volatility_30,volatility_60,beta,var_95,var_99,drawdown,max_drawdown,sharpe_ratio,relative_strength
2025-01-30,AAPL,237.1547951903121,239.26133146080375,235.7040725307193,236.08164978027344,236.08164978027344,55658300.0,-0.007394700325762837,-0.0074221766588497716,False,0.06714867703500516,-0.04247778157632787,,-0.025671590772479713,233.81414489746095,,,BUY,SELL,SELL,50.965788068519764,-2.9400692440223963,-3.828378452338338,0.8883092083159418,233.81414489746095,250.2474585620621,217.3808312328598,False,False,False,False,0.017359232570029866,,,,,-0.08273485024277057,-0.1404523385571879,,0.9992573359482824
2025-01-31,AAPL,245.62071750771995,245.62071750771995,231.95800933839706,234.5017547607422,234.5017547607422,100959800.0,-0.0066921551124439205,-0.0067146479891791785,False,0.05437171321552525,-0.05991077282929702,,-0.032191947617491,233.09772262573242,,,BUY,SELL,SELL,49.02098527451961,-2.540223328608988,-3.5707474275924684,1.0305240989834803,233.09772262573242,247.9477179380366,218.24772731342824,False,True,False,False,0.017207654370517137,,,,,-0.08887333090418505,-0.1404523385571879,,0.9976048889045287
2025-02-03,AAPL,228.52991033796462,230.35822543026035,224.2671369795404,226.56246948242188,226.56246948242188,73063300.0,-0.033855973855805965,-0.03444236049586725,False,0.019449111541877784,-0.10048130436044289,,-0.0649580317363917,232.31074981689454,,,SELL,SELL,SELL,40.63050362019182,-2.8313386213150977,-3.4228656663369943,0.5915270450218966,232.31074981689454,246.77003472177682,217.85146491201226,False,False,True,False,0.018012135146908595,,,,,-0.11972041159242054,-0.1404523385571879,,0.9712196232440702
2025-02-04,AAPL,225.80729852188347,231.64997406812495,225.21110156992967,231.3220672607422,231.3220672607422,45067300.0,0.021007882678863554,0.02079025970009404,False,0.04497719098226982,-0.06147958989421343,,-0.04531477976729614,231.78610229492188,,,SELL,SELL,SELL,46.538246487162496,-2.6474714225001605,-3.2677868175696276,0.6203153950694671,231.78610229492188,245.5374900110433,218.03471457880045,False,False,False,False,0.018210234294946767,,,,,-0.10122760127455585,-0.1404523385571879,,0.9845099232896612
2025-02-05,AAPL,227.0791967098242,231.19291368703577,226.82085275464706,230.9941864013672,230.9941864013672,39620300.0,-0.0014174214473252622,-0.0014184269393545564,False,0.011354800366717432,-0.06933809819190706,,-0.04666797107389853,231.16358032226563,,,SELL,SELL,SELL,46.1972071811247,-2.499401048421504,-3.114109663740003,0.6147086153184991,231.16358032226563,243.7725448995672,218.55461574496405,False,False,False,False,0.0181319706782925,,,,,-0.10250154054877329,-0.1404523385571879,,0.9792867462130537
2025-02-06,AAPL,229.82163993606684,232.31571480889477,228.9670990724139,231.73939514160156,231.73939514160156,29925300.0,0.0032260930538725585,0.0032209003807103787,False,-0.021153455848833325,-0.08357902330963285,,-0.04359243323734585,230.7169334411621,,,BUY,SELL,SELL,47.14524367175942,-2.295461442176844,-2.9503800194273713,0.6549185772505273,230.7169334411621,242.5144243663461,218.9194425159781,False,False,False,False,0.017726780040981525,,,,,-0.09960612700287644,-0.1404523385571879,,0.9788786900231111
2025-02-07,AAPL,231.12335539671392,232.5144614947352,225.81724462416,226.18490600585938,226.18490600585938,39707200.0,-0.023968687466143557,-0.024260610569480243,False,-0.049005559658304776,-0.10827748908767032,,-0.06651626729533466,229.9682174682617,,,SELL,SELL,SELL,41.30331784339912,-2.5526137450679585,-2.870826764555489,0.31821301948753034,229.9682174682617,240.83966786723073,219.0967670692927,False,False,False,False,0.018103948600304166,,,,,-0.12118738634117503,-0.1404523385571879,,0.9645454536152818
2025-02-10,AAPL,228.36338248973718,229.378010419489,226.00582893863492,226.45346069335938,226.45346069335938,33115600.0,0.0011873236470210102,0.0011866193357414547,False,-0.04078330143776632,-0.11735000898657266,,-0.06540791998538498,229.5235725402832,,,SELL,SELL,SELL,41.67959855580904,-2.7035735657653674,-2.8373761247974647,0.13380255903209726,229.5235725402832,240.19443778742965,218.85270729313675,False,False,False,False,0.017903729487397445,,,,,-0.12014395134367749,-0.1404523385571879,,0.9592516650278046
2025-02-11,AAPL,227.000572314181,233.99362125199642,226.93094812871882,231.3973388671875,231.3973388671875,53718400.0,0.021831762511779873,0.02159686229322903,False,-0.01323834824486525,-0.10093514304485951,,-0.04500412764911543,229.4478446960449,238.76821563720702,,BUY,SELL,SELL,48.25586286871952,-2.3966535303281375,-2.7492316059035993,0.3525780755754617,229.4478446960449,240.03866054122878,218.85702885086104,False,False,False,False,0.01847629985084726,,,,,-0.10093514304485952,-0.1404523385571879,,0.9798610756109704
2025-02-12,AAPL,229.98481838871234,235.71455375787428,229.4675472393098,235.62501525878906,235.62501525878906,45243300.0,0.018270203159199028,0.01810530840941033,False,0.04000020743537269,-0.07222329768446367,,-0.02755615904506814,229.63914413452147,238.8119451904297,,BUY,SELL,SELL,53.12364619200109,-1.7916262857942513,-2.55771054188173,0.7660842560874785,229.63914413452147,240.54238389544244,218.7359043736005,False,False,False,False,0.018789109411239853,,,,,-0.0845090454549928,-0.1404523385571879,,1.0004885339459142
2025-02-13,AAPL,235.66480095549997,241.06625350434595,234.33184765944378,240.26051330566406,240.26051330566406,53614100.0,0.01967319998593431,0.019482183788990057,False,0.03864069758137956,-0.041254687181567995,,-0.008425076886871552,229.83417587280275,238.90068908691407,,BUY,BUY,SELL,57.81023202459746,-0.9274013778099288,-2.2316487090673696,1.3042473312574407,229.83417587280275,241.36507250695877,218.30327923864672,False,False,False,False,0.019087791997201047,,,,,-0.0664984088209149,-0.1404523385571879,,1.009644496497778
