date,ticker,revenue,gross_profit,operating_profit,net_income,eps,total_assets,total_liabilities,equity,total_debt,operating_cash_flow,capital_expenditure,interest_expense,tax_rate,receivables,inventory,payble,current_assets,current_liabilities,COGS,roe,roa,pe,pb,shares_outstanding,market_cap,risk_free_rate,market_risk_premium,gross_profit_margin,revenue_growth,net_profit_margin,receivable_turnover,days_sales_outstanding,inventory_turnover,days_inventory_outstanding,payable_turnover,days_payable_outstanding,cash_conversion_cycle,current_ratio,debt_to_equity,interest_coverage,fcff,fcfe,latest_event_type,latest_sentiment,news_article_count,pe_1y_avg,pe_5y_avg,pb_1y_avg,pb_5y_avg,pe_industry,pb_industry,dcf_intrinsic_price,dcf_upside,dcf_invalid_reason,dcf_is_valid
2025-03-31,AAPL,95359000000.0,44867000000.0,29589000000.0,24780000000.0,1.65,331233000000.0,264437000000.0,66796000000.0,98186000000.0,23952000000.0,-3071000000.0,3933000000.0,0.15455475946775846,26136000000.0,6269000000.0,54126000000.0,118674000000.0,144571000000.0,50492000000.0,0.3709802982214504,0.07481138654663032,36.584244,41.573,14939315000.0,4432937877504.0,0.045,0.055,0.47050619238876246,,0.25986010759341016,,,,,,,,0.8208700223419635,1.4699383196598599,7.52326468344775,23988070000.0,,,,0,36.584244,36.584244,41.573,41.573,107.2429070678004,8.603660345020138,,,insufficient_fcfe_history,False
2025-06-30,AAPL,94036000000.0,43718000000.0,28202000000.0,23434000000.0,1.57,331495000000.0,265665000000.0,65830000000.0,101698000000.0,27867000000.0,-3462000000.0,3933000000.0,0.16399700331775535,27557000000.0,5925000000.0,50374000000.0,122491000000.0,141120000000.0,50318000000.0,0.355977517849005,0.07069186563899908,36.584244,41.573,14856722000.0,4432937877504.0,0.045,0.055,0.4649070568718363,-0.01387388710032611,0.24920243311072354,3.5027284748477454,104.2044801990727,8.252911267836641,44.226817441074765,0.9564401913875598,381.62344419097934,-233.19214655083186,0.8679917800453515,1.5448579674920249,7.170607678616832,27512070000.0,27917000000.0,,,0,36.584244,36.584244,41.573,41.573,135.00047782089342,10.703618015938066,,,insufficient_fcfe_history,False
2025-09-30,AAPL,102466000000.0,48341000000.0,32427000000.0,27466000000.0,1.85,359241000000.0,285508000000.0,73733000000.0,98657000000.0,29728000000.0,-3242000000.0,3933000000.0,0.16272405804170223,39777000000.0,5718000000.0,69860000000.0,147957000000.0,165631000000.0,54125000000.0,0.3725062048200941,0.076455638415437,36.584244,41.573,14773260000.0,4432937877504.0,0.045,0.055,0.47177600374758455,0.08964651835467263,0.2680498897195167,3.0435144206493003,119.9271465656901,9.297431933350511,39.25815242494226,0.8968844087362976,406.9643718238807,-247.77907283324834,0.8932929222186667,1.3380304612588665,8.244851258581235,29593070000.0,23445000000.0,,,0,36.584244,36.584244,41.573,41.573,138.17798604204893,10.55984030535957,,,insufficient_fcfe_history,False
2025-12-31,AAPL,143756000000.0,69231000000.0,50852000000.0,42097000000.0,2.85,379297000000.0,291107000000.0,88190000000.0,90509000000.0,53925000000.0,-2373000000.0,3933000000.0,0.17460099603937101,39921000000.0,5875000000.0,70587000000.0,158104000000.0,162367000000.0,74525000000.0,0.4773443701099898,0.11098690472110247,36.584244,41.573,14697926000.0,4432937877504.0,0.045,0.055,0.4815868555051615,0.40296293404641537,0.292836472912435,3.6075183818916408,101.17758563120844,12.856896403001812,28.38943307614894,1.0634901421888685,343.2095752657936,-213.6425565584362,0.9737446648641658,1.0262954983558226,12.929570302568015,54659070000.0,43404000000.0,,,0,36.584244,36.584244,41.573,41.573,93.20695598976512,9.170586794894499,,,insufficient_fcfe_history,False
2026-03-31,AAPL,111184000000.0,54781000000.0,35885000000.0,29578000000.0,2.02,371082000000.0,264591000000.0,106491000000.0,84711000000.0,28702000000.0,-1971000000.0,3933000000.0,0.17455976334663578,30339000000.0,6747000000.0,57349000000.0,144114000000.0,134641000000.0,56403000000.0,0.277751171460499,0.07970745010536755,36.584244,41.573,14667688000.0,4432937877504.0,0.045,0.055,0.4927057850050367,-0.2265783689028632,0.2660274859692042,3.164930259037859,115.32639588429991,8.937252416415783,40.84029218303991,0.89536955977989,407.65290266259274,-251.48621459525293,1.07035746912159,0.7954756740006198,9.124078311721332,29838070000.0,20933000000.0,,,0,36.584244,36.584244,41.573,41.573,86.53763703677508,6.636612060696529,182.82674600650495,-0.3884779567849012,,True
