date,ticker,open,high,low,close,adj_close,volume,daily_return,log_return,is_outlier,cum_return_7,cum_return_30,cum_return_90,cum_return_ytd,ma20,ma50,ma200,ma20_signal,ma50_signal,ma200_signal,rsi_14,macd_line,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,volume_spike,gap_up,gap_down,sudden_price_movement,volatility_30,volatility_60,beta,var_95,var_99,drawdown,max_drawdown,sharpe_ratio,relative_strength
2025-03-06,GVR,32536.02849264706,33521.96875,32536.02849264706,33521.96875,33521.96875,4939600.0,,,False,,,,0.0,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0
2025-03-07,GVR,33521.966184701494,33620.56020289179,33028.99609375,33028.99609375,33028.99609375,3000600.0,-0.014705957753450849,-0.014815162311033981,False,,,,-0.014705957753450849,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.014705957753450861,-0.014705957753450861,,0.9740836371823365
2025-03-10,GVR,33127.59065315315,33226.1846729542,32683.91756404842,32831.80859375,32831.80859375,2626600.0,-0.005970133014043144,-0.0059880255073988765,False,,,,-0.020588294243607086,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.020588294243607037,-0.020588294243607037,,0.9627154306321042
2025-03-11,GVR,32536.026267776946,32979.69935324663,31845.868134824104,32930.40234375,32930.40234375,3157200.0,0.003002994785330504,0.002998494803187867,False,,,,-0.017647125998528912,,,,SELL,SELL,SELL,,,,,,,,False,False,True,False,,,,,,-0.01764712599852895,-0.020588294243607037,,0.9652193027513928
2025-03-12,GVR,32831.80996331936,32930.403987233236,32338.83984375,32338.83984375,32338.83984375,2208000.0,-0.017964022845055716,-0.018127334684779298,False,,,,-0.03529413546899751,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.03529413546899748,-0.03529413546899748,,0.9441683646000836
2025-03-13,GVR,32437.433321496213,33275.48251065341,32289.542288115532,32536.02734375,32536.02734375,4500600.0,0.006097544035368552,0.00607902923880897,False,,,,-0.029411798978841275,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.029411798978841303,-0.03529413546899748,,0.9441936997431736
2025-03-14,GVR,32536.026534346845,33176.887663053676,32486.72952444632,32831.80859375,32831.80859375,4168200.0,0.009090883987618037,0.009049810642782319,False,,,,-0.020588294243607086,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.020588294243607037,-0.03529413546899748,,0.9537063085245567
2025-03-17,GVR,32881.10628427572,32979.70030611762,32388.136175066185,32585.32421875,32585.32421875,2746500.0,-0.00750748696332626,-0.007535809989119538,False,-0.0279412148563023,,,-0.0279412148563023,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.027941214856302257,-0.03529413546899748,,0.9431265722436665
2025-03-18,GVR,32733.214305763475,33275.48141022642,32486.729258280317,32930.40234375,32930.40234375,4240900.0,0.010589985929967849,0.010534304792307448,False,-0.002985066507021572,,,-0.017647125998528912,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.01764712599852895,-0.03529413546899748,,0.9590244767879071
2025-03-19,GVR,32930.402478448275,34852.985856681036,32831.808459051725,34310.71875,34310.71875,8590800.0,0.041916171926516865,0.04106149088816654,False,0.04504504075756377,,,0.023529345960624726,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,-0.03529413546899748,,1.010492167764878
2025-03-20,GVR,34507.90760869565,34507.90760869565,33521.967391304344,34014.9375,34014.9375,2368900.0,-0.008620666100152774,-0.008658038983268966,False,0.03293416050398901,,,0.014705841225390426,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.00862066610015274,-0.03529413546899748,,1.0025474486110733
2025-03-21,GVR,34014.93736432706,34803.68953509406,33867.046332308244,34064.234375,34064.234375,4101100.0,0.0014492713679099545,0.001448222187736557,False,0.05335363110076008,,,0.016176425347929513,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.00718388841679395,-0.03529413546899748,,1.0012126805493473
2025-03-24,GVR,34064.23547309663,34113.532485358715,33226.18626464129,33669.859375,33669.859375,2533500.0,-0.011577392160307398,-0.011644931960822391,False,0.03484850867842049,,,0.004411752367617039,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.018678109883664272,-0.03529413546899748,,0.975705517795256
2025-03-25,GVR,33817.749187138725,34852.98640715318,33423.3731033237,34113.53125,34113.53125,4845000.0,0.013177122899700189,0.013091059833721663,False,0.03903905118690276,,,0.0176470094704686,,,,SELL,SELL,SELL,60.59246724010561,,,,,,,False,False,False,False,,,,,,-0.00574711073343516,-0.03529413546899748,,0.9881634302223435
