date,ticker,open,high,low,close,adj_close,volume,daily_return,log_return,is_outlier,cum_return_7,cum_return_30,cum_return_90,cum_return_ytd,ma20,ma50,ma200,ma20_signal,ma50_signal,ma200_signal,rsi_14,macd_line,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,volume_spike,gap_up,gap_down,sudden_price_movement,volatility_30,volatility_60,beta,var_95,var_99,drawdown,max_drawdown,sharpe_ratio,relative_strength
2024-12-12,MSFT,444.8060093995974,451.7884649521135,444.8060093995974,445.251708984375,445.251708984375,20834800.0,0.0012694634941745608,0.0012686584066738038,False,0.042578854182886205,,,0.06281464195003572,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,-0.0060311071687143185,,1.053592060210459
2024-12-13,MSFT,444.142443353527,447.10377945438483,441.30983602760955,442.983642578125,442.983642578125,20177800.0,-0.005093897138370274,-0.005106915259863647,False,0.02251835849449879,,,0.057400773486788514,,,,SELL,SELL,SELL,,,,,,,,False,False,True,False,,,,,,-0.005093897138370315,-0.0060311071687143185,,1.0482529143615384
2024-12-16,MSFT,442.9836304987913,447.8465797272876,441.01271109813007,447.2622375488281,447.2622375488281,23598800.0,0.009658584560373606,0.009612238617689705,False,0.020265610787719712,,,0.06761376827171506,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,-0.0060311071687143185,,1.0543716223907922
2024-12-17,MSFT,446.6877867800923,450.9267684894764,445.26158450169066,450.1047058105469,450.1047058105469,22733500.0,0.006355261014872493,0.006335151499431454,False,0.02455068069714872,,,0.07439873243215356,,,,SELL,SELL,SELL,85.91638139173327,,,,,,,False,False,False,False,,,,,,0.0,-0.0060311071687143185,,1.0651883115311471
2024-12-18,MSFT,446.994861295181,448.31210217470453,432.83188469873346,433.1983642578125,433.1983642578125,24444500.0,-0.03756090823864966,-0.03828449610945161,False,-0.019348786054968814,,,0.03404334023154787,,,,SELL,SELL,SELL,51.2722068261191,,,,,,,False,False,False,False,,,,,,-0.037560908238649715,-0.037560908238649715,,1.056333142162756
2024-12-19,MSFT,437.38780577162396,438.93285336164837,432.1386095010433,432.841796875,432.841796875,22963700.0,-0.0008231041763590019,-0.000823443112600892,False,-0.014210562420892248,,,0.033192214839667056,,,,SELL,SELL,SELL,50.806884953035286,,,,,,,False,False,False,False,,,,,,-0.038353095874569657,-0.038353095874569657,,1.056377555184561
2024-12-20,MSFT,428.9593493416428,439.48748337745457,424.5223020050907,432.4159240722656,432.4159240722656,64263700.0,-0.000983899442727254,-0.000984383789509035,False,-0.02759528696751401,,,0.03217565759525609,,,,SELL,SELL,SELL,50.22064325691639,,,,,,,False,False,True,False,,,,,,-0.039299259727639056,-0.039299259727639056,,1.0439909193803414
2024-12-23,MSFT,432.5545685943141,433.4558513948008,428.6820357713906,431.078857421875,431.078857421875,19152500.0,-0.0030920846711629535,-0.0030968750423406525,False,-0.03183109974991105,,,0.028984083066458277,,,,SELL,SELL,SELL,48.334940825541885,,,,,,,False,False,False,False,,,,,,-0.04226982776021015,-0.04226982776021015,,1.0332333570321877
2024-12-24,MSFT,430.484577930417,435.3871522905164,430.02899474815183,435.1197204589844,435.1197204589844,7164500.0,0.00937383721687568,0.009330175444939717,False,-0.017752172683788703,,,0.03862961235987927,,,,SELL,SELL,SELL,53.961210485494846,,,,,,,False,False,False,False,,,,,,-0.033292221027944144,-0.04226982776021015,,1.0315278051109698
2024-12-26,MSFT,434.8721127935591,436.7143034093448,432.44561022869516,433.9114074707031,433.9114074707031,8194200.0,-0.0027769667322976588,-0.002780829657547815,False,-0.029850116905224877,,,0.03574537247917653,435.6431823730469,,,SELL,SELL,SELL,52.13299946833429,,,,435.6431823730469,452.75048071809414,418.53588402799966,False,False,False,False,,,,,,-0.035976736370002885,-0.04226982776021015,,1.029080742357865
