date,ticker,revenue,gross_profit,operating_profit,net_income,eps,total_assets,total_liabilities,equity,total_debt,operating_cash_flow,capital_expenditure,interest_expense,tax_rate,receivables,inventory,payble,current_assets,current_liabilities,COGS,roe,roa,pe,pb,shares_outstanding,market_cap,risk_free_rate,market_risk_premium,gross_profit_margin,revenue_growth,net_profit_margin,receivable_turnover,days_sales_outstanding,inventory_turnover,days_inventory_outstanding,payable_turnover,days_payable_outstanding,cash_conversion_cycle,current_ratio,debt_to_equity,interest_coverage,fcff,fcfe,latest_event_type,latest_sentiment,news_article_count,pe_1y_avg,pe_5y_avg,pb_1y_avg,pb_5y_avg,pe_industry,pb_industry,dcf_intrinsic_price,dcf_upside,dcf_invalid_reason,dcf_is_valid
2025-03-31,GVR,5676961736513.0,1636979508579.0,1125306140278.0,1184647986486.0,292.0,83239803543991.0,23156601748820.0,54375862866918.0,6833025379604.0,1236359836673.0,-222390544380.0,69400548964.0,0.1332661292968707,1309532680645.0,4742160686716.0,677220699414.0,28554103345917.0,10057698229837.0,4039982227934.0,0.02178628391397415,0.01423174894760451,19.364649,2.1353288,4000000000.0,129399999430656.0,0.045,0.055,0.2883548603208472,,0.20867640852088157,,,,,,,,2.8390296361456615,0.12566284044682588,16.214657622690098,1068795725974.56,,,,0,19.364649,19.364649,2.1353288,2.1353288,107.86145168872075,2.349900209863877,,,insufficient_fcfe_history,False
2025-06-30,GVR,6016671526981.0,1626477963982.0,992798025776.0,1403971688666.0,351.0,83508600413928.0,21457384730228.0,56323630944293.0,4709785934012.0,1236359836673.0,-222390544380.0,67716140218.0,0.1707789632642367,1346508540593.0,5086043282912.0,946954242886.0,29120097136404.0,8793301694359.0,4390193562999.0,0.02492686755324068,0.016812300549966328,19.364649,2.1353288,4000000000.0,129399999430656.0,0.045,0.055,0.27032852910255545,0.05984007048753903,0.2333469065695322,4.530555835407243,80.56406614558165,0.8933867421893097,408.5576635103637,5.829515079811609,62.61241201074235,426.509317645203,3.3116226587659177,0.08362006949925198,14.661172692062252,1067465043065.22,-1109270153299.0,,,0,19.364649,19.364649,2.1353288,2.1353288,85.1127940040874,2.1215953432261445,,,insufficient_fcfe_history,False
2025-09-30,GVR,9294402677445.0,2648291685988.0,2159849528349.0,2187281385238.0,351.0,84839406230403.0,21457384730228.0,63932980593225.0,1421575241010.0,136923951424.0,-137228097635.0,-58280913113.0,-0.16481955025104406,3129221937738.0,5148711193863.0,766654385787.0,30912273267619.0,8231094536378.0,-6646110991457.0,0.03421209780840074,0.025781432030510452,19.364649,2.1353288,4000000000.0,129399999430656.0,0.045,0.055,0.28493403803287837,0.544774820391213,0.2353331850518958,4.153245027797511,87.88308841810894,-1.2987338399838602,-281.04295796630356,-7.683718406114875,-47.503042239226886,-145.65682730896773,3.7555483211861636,0.02223539756506589,37.059294595493036,45737775148.27002,-3288514839213.0,,,0,19.364649,19.364649,2.1353288,2.1353288,85.1127940040874,2.1215953432261445,,,insufficient_fcfe_history,False
2025-12-31,GVR,8505654929386.0,2482449743213.0,1105247775398.0,1001028183272.0,250.0,86282461490860.0,24080878789838.0,56356745908915.0,2972916618455.0,2605961433762.0,-613195036201.0,55276605227.0,0.19278475876611859,1545717198992.0,6722923911408.0,977560282259.0,32904606406685.0,10940794561573.0,6023205186174.0,0.017762348892355912,0.011601757367318966,19.364649,2.1353288,4000000000.0,129399999430656.0,0.045,0.055,0.2918587414869652,-0.0848626614782978,0.11768972425786635,3.638830230990125,100.30696043235949,1.014722088872105,359.70439985760913,8.71156290897404,41.89833716565401,418.11302312431457,3.0075152422891467,0.05275174374439384,19.99485624812102,2036434915690.33,3544107775006.0,,,0,19.364649,19.364649,2.1353288,2.1353288,104.69235706975464,1.859582172636086,,,insufficient_fcfe_history,False
2026-03-31,GVR,8845157076569.0,2336688814083.0,1690512234737.0,2250751648382.0,556.0,87178899384779.0,22194178753373.0,58878990246425.0,2635460584216.0,2626503751251.0,-209898693868.0,40516611306.0,0.15114111251365803,1461358154609.0,4262967737456.0,798027402510.0,34159898483536.0,8269602595201.0,6508468262486.0,0.03822673654833374,0.02581761944995339,19.364649,2.1353288,4000000000.0,129399999430656.0,0.045,0.055,0.2641771981950367,0.03991487428088125,0.25446146732026803,5.882896859220268,62.04426301099181,1.1848775630622592,308.04870594112276,4.560193927072323,80.04045569928923,290.05251325282535,4.130778727306631,0.044760628081185874,41.7239295253366,2448613180314.74,2079149023144.0,,,0,19.364649,19.364649,2.1353288,2.1353288,56.33673537067177,2.1535695410078644,5325.434636828222,-0.8405558491967599,,True
2026-06-30,GVR,7097360530343.0,2166717217804.0,1181209293443.0,2288744719412.0,572.0,90263949529178.0,23382593244952.0,60599568581638.0,2598964458918.0,2525111710826.0,-355031710160.0,37654876400.0,0.1682676486190848,1374899919541.0,4084618522195.0,926677272197.0,37897604212888.0,9030098286096.0,4930643312539.0,0.03776833355387124,0.025356133111283357,19.364649,2.1353288,4000000000.0,129399999430656.0,0.045,0.055,0.3052849307204755,-0.19759926602727595,0.32247829451907384,5.004735355381941,72.9309292263556,1.1813338992067253,308.97276396207735,5.510849674116341,66.2329806807019,315.6707125077311,4.196809714822312,0.042887507613470044,31.369357872676485,2199827353022.0,2133583875368.0,,,0,19.364649,19.364649,2.1353288,2.1353288,57.32399899701637,2.165031914761095,19417.645560808112,-0.4186333664428709,,True
