date,ticker,open,high,low,close,adj_close,volume
2024-11-27,MSFT,421.03601885024915,423.13572759358533,417.97563494679554,418.93634033203125,418.93634033203125,18332400
2024-11-29,MSFT,416.06409541148713,420.80819926930246,413.79603299145003,419.40179443359375,419.40179443359375,16271900
2024-12-02,MSFT,417.52996787602956,428.8504232970242,417.27244986667705,426.84979248046875,426.84979248046875,20207200
2024-12-03,MSFT,425.72067515411175,428.32547569363487,423.6407942127541,427.0676574707031,427.0676574707031,18302000
2024-12-04,MSFT,428.8800841135143,435.4564646159383,428.48392353237045,433.22802734375,433.22802734375,26009400
2024-12-05,MSFT,433.72326431540773,440.3986627358307,431.9900352112823,438.3782043457031,438.3782043457031,21697800
2024-12-06,MSFT,438.06124339003895,441.8248445475462,437.5363238090719,439.319091796875,439.319091796875,18821000
2024-12-09,MSFT,438.35842787251636,444.03349609525384,436.2785468030062,441.7456359863281,441.7456359863281,19144400
2024-12-10,MSFT,440.13125981361975,445.31111943385133,437.3679889585384,439.0813903808594,439.0813903808594,18469500
2024-12-11,MSFT,439.7945337941877,446.0341772846715,439.7945337941877,444.68719482421875,444.68719482421875,19200200
2024-12-12,MSFT,444.8060093995974,451.7884649521135,444.8060093995974,445.251708984375,445.251708984375,20834800
2024-12-13,MSFT,444.142443353527,447.10377945438483,441.30983602760955,442.983642578125,442.983642578125,20177800
2024-12-16,MSFT,442.9836607244317,447.8466102847365,441.0127411892908,447.26226806640625,447.26226806640625,23598800
2024-12-17,MSFT,446.6878170659997,450.92679906279125,445.26161469090005,450.104736328125,450.104736328125,22733500
2024-12-18,MSFT,446.9948298056794,448.3120705924071,432.83185420697276,433.1983337402344,433.1983337402344,24444500
2024-12-19,MSFT,437.38777493352876,438.93282241461935,432.13857903304347,432.8417663574219,432.8417663574219,22963700
2024-12-20,MSFT,428.95928879437923,439.48742134415346,424.52224208411275,432.4158630371094,432.4158630371094,64263700
2024-12-23,MSFT,432.5545379722653,433.455820708947,428.6820054234919,431.0788269042969,431.0788269042969,19152500
2024-12-24,MSFT,430.484577930417,435.3871522905164,430.02899474815183,435.1197204589844,435.1197204589844,7164500
2024-12-26,MSFT,434.8721127935591,436.7143034093448,432.44561022869516,433.9114074707031,433.9114074707031,8194200
2024-12-27,MSFT,430.4350863105853,431.04913980352325,422.2641488688207,426.4040832519531,426.4040832519531,18117700
2024-12-30,MSFT,421.9769208859116,423.45263204127576,417.8567839421245,420.7586975097656,420.7586975097656,13158700
2024-12-31,MSFT,422.016524265212,422.64049156656444,416.6286554798762,417.4606018066406,417.4606018066406,13246500
2025-01-02,MSFT,421.4519805555425,421.98681399014663,410.87433837182135,414.5685729980469,414.5685729980469,16896500
2025-01-03,MSFT,417.0446121521978,419.96635323692743,415.51939233739597,419.2928771972656,419.2928771972656,16662900
2025-01-06,MSFT,423.8983428352595,430.15778356293015,421.4025036603563,423.7497863769531,423.7497863769531,20573600
2025-01-07,MSFT,424.88876369017254,426.52294519780327,416.7673346717813,418.3222961425781,418.3222961425781,18139100
2025-01-08,MSFT,419.4018380991605,422.87821031177674,417.5002550030301,420.4913024902344,420.4913024902344,15054600
2025-01-10,MSFT,420.5605868581897,420.6398068835906,411.0426680414125,414.9350280761719,414.9350280761719,20201100
2025-01-13,MSFT,411.2606004893305,414.48936844362913,408.3388895039501,413.1919250488281,413.1919250488281,17604800
2025-01-14,MSFT,413.80596878606093,415.7174656234234,406.783918522941,411.6864929199219,411.6864929199219,16935900
2025-01-15,MSFT,415.11333355996726,424.04688082339095,414.2615595275802,422.2245178222656,422.2245178222656,19637800
2025-01-16,MSFT,424.59158895645874,425.3739962723433,420.32289602505284,420.51104736328125,420.51104736328125,15300000
2025-01-17,MSFT,429.9299628963343,430.31623990051855,424.06671321451194,424.91845703125,424.91845703125,26197500
2025-01-21,MSFT,426.0772445238866,426.7705180269004,421.52132200002626,424.3935241699219,424.3935241699219,26085700
2025-01-22,MSFT,433.3666754188294,442.98361192744835,431.8216279752757,441.92388916015625,441.92388916015625,27803800
