date,ticker,open,high,low,close,adj_close,volume
2025-04-28,GVR,23662.565824468085,23662.565824468085,22824.51661818484,23169.595703125,23169.595703125,2733400
2025-04-29,GVR,23169.59515921677,23662.565268987342,22972.407115308542,23366.783203125,23366.783203125,3078300
2025-04-30,GVR,23366.783203125,23366.783203125,23366.783203125,23366.783203125,23366.783203125,0
2025-05-01,GVR,23366.783203125,23366.783203125,23366.783203125,23366.783203125,23366.783203125,0
2025-05-02,GVR,23366.783203125,23366.783203125,23366.783203125,23366.783203125,23366.783203125,0
2025-05-05,GVR,23366.783203125,23366.783203125,23366.783203125,23366.783203125,23366.783203125,0
2025-05-06,GVR,23761.160046214787,24549.912246919015,23662.56602112676,24500.615234375,24500.615234375,5919600
2025-05-07,GVR,24796.396854102368,24796.396854102368,23958.34765625,23958.34765625,23958.34765625,4005900
2025-05-08,GVR,23859.754071302817,24796.397309639084,23859.754071302817,24500.615234375,24500.615234375,4378300
2025-05-09,GVR,24796.39658000824,26176.712890625,24747.099568914782,26176.712890625,26176.712890625,10064000
2025-05-12,GVR,26176.712890625,26176.712890625,26176.712890625,26176.712890625,26176.712890625,0
2025-05-13,GVR,26423.1980377907,27754.21734193314,26373.901026526164,27557.029296875,27557.029296875,8097300
2025-05-14,GVR,27951.40543193717,28444.375545375216,27852.811409249563,28247.1875,28247.1875,6543300
2025-05-15,GVR,28296.484326171874,28296.484326171874,27458.435138811383,27606.326171875,27606.326171875,5543500
2025-05-16,GVR,27704.919921875,27902.107964023577,27064.058784892124,27704.919921875,27704.919921875,4569500
2025-05-19,GVR,27113.356287339153,27655.623413085938,26817.57421875,26817.57421875,26817.57421875,3455100
2025-05-20,GVR,27113.356287339153,27655.623413085938,26817.57421875,26817.57421875,26817.57421875,3455100
2025-05-21,GVR,26817.574796931407,27606.326996841155,26620.38674695397,27310.544921875,27310.544921875,3284000
2025-05-22,GVR,27557.029110863095,27557.029110863095,26768.276935954673,26916.16796875,26916.16796875,2845700
2025-05-23,GVR,26866.87021720787,27310.543303363596,26472.494140625,26472.494140625,26472.494140625,3665000
2025-05-26,GVR,26817.573656845754,28444.375,26127.415511265164,28444.375,28444.375,7422100
2025-05-27,GVR,26817.573656845754,28444.375,26127.415511265164,28444.375,28444.375,7422100
2025-05-28,GVR,28986.642578125,29085.236600499575,28690.860511001276,28986.642578125,28986.642578125,5066500
2025-05-29,GVR,29085.235923008007,29972.58210370995,28838.750872813027,29233.126953125,29233.126953125,5838800
2025-05-30,GVR,29873.988779496172,29873.988779496172,28937.34556693771,28986.642578125,28986.642578125,4316900
2025-06-02,GVR,28148.593653343643,28937.345839777092,28148.593653343643,28888.048828125,28888.048828125,3274700
2025-06-03,GVR,28148.593653343643,28937.345839777092,28148.593653343643,28888.048828125,28888.048828125,3274700
2025-06-04,GVR,28986.64230667373,29233.127360301907,28838.751274496823,29085.236328125,29085.236328125,3373000
2025-06-05,GVR,29282.42533903302,29430.316376098843,28641.564178414454,28740.158203125,28740.158203125,2090200
2025-06-06,GVR,28789.455078125,29282.42519932577,28690.861053884844,28789.455078125,28789.455078125,2329100
2025-06-09,GVR,28050.000109290388,28247.188159267826,26965.465834414485,27310.544921875,27310.544921875,2841100
2025-06-10,GVR,28050.000109290388,28247.188159267826,26965.465834414485,27310.544921875,27310.544921875,2841100
2025-06-11,GVR,27507.731745392986,28099.295868949823,27359.840714503775,27754.216796875,27754.216796875,1650100
2025-06-12,GVR,28049.999968327706,28049.999968327706,27211.950760135136,27359.841796875,27359.841796875,1332600
2025-06-13,GVR,27606.326619964973,28395.07880910683,27606.326619964973,28148.59375,28148.59375,2196400
2025-06-16,GVR,26817.573995535713,27606.326171875,26817.573995535713,27606.326171875,27606.326171875,1588300
2025-06-17,GVR,26817.573995535713,27606.326171875,26817.573995535713,27606.326171875,27606.326171875,1588300
2025-06-18,GVR,27803.51373269896,28493.671875,27655.62270220588,28493.671875,28493.671875,4712300
2025-06-19,GVR,28592.265625,29035.938712284482,28345.78057650862,28592.265625,28592.265625,3837000
2025-06-20,GVR,28592.26706208194,30021.88041518604,28592.26706208194,29479.61328125,29479.61328125,7153300
2025-06-23,GVR,28444.374400298868,30366.957765310402,28049.998325424705,29381.017578125,29381.017578125,4683800
2025-06-24,GVR,28444.374400298868,30366.957765310402,28049.998325424705,29381.017578125,29381.017578125,4683800
2025-06-25,GVR,29775.394063553962,29775.394063553962,29035.938912969013,29233.126953125,29233.126953125,5252900
2025-06-26,GVR,29578.20680296266,30909.22610909598,29282.424734933036,30366.958984375,30366.958984375,6556600
2025-06-27,GVR,30366.95783811475,30465.55185706967,29824.690733862702,30071.17578125,30071.17578125,1932500
2025-06-30,GVR,30120.473333075493,30514.849415996287,29726.097250154704,29873.98828125,29873.98828125,2514100
2025-07-01,GVR,30120.473333075493,30514.849415996287,29726.097250154704,29873.98828125,29873.98828125,2514100
2025-07-02,GVR,30219.067011311196,30859.92813879414,29972.58196227929,30712.037109375,30712.037109375,5298600
2025-07-03,GVR,30761.33385,31944.462075,30662.73983125,30810.630859375,30810.630859375,4471900
2025-07-04,GVR,30021.879252665753,30219.067293734166,28838.75100625528,29183.830078125,29183.830078125,13342000
2025-07-07,GVR,29282.423693539917,29676.799770220587,29134.532664784663,29331.720703125,29331.720703125,2774500
2025-07-08,GVR,29282.423693539917,29676.799770220587,29134.532664784663,29331.720703125,29331.720703125,2774500
2025-07-09,GVR,30071.1771484375,30120.47416015625,29381.018984375,29578.20703125,29578.20703125,4327300
2025-07-10,GVR,29824.69250549623,29824.69250549623,29381.01939384422,29430.31640625,29430.31640625,3949300
2025-07-11,GVR,29479.612736191862,30219.067905159885,29331.721702398256,29676.80078125,29676.80078125,5198000
2025-07-14,GVR,29873.98927533646,30465.553419402528,29233.128119264886,30219.068359375,30219.068359375,5703300
2025-07-15,GVR,29873.98927533646,30465.553419402528,29233.128119264886,30219.068359375,30219.068359375,5703300
2025-07-16,GVR,30268.36491642442,30416.255950218023,29676.80078125,29676.80078125,29676.80078125,4106500
2025-07-17,GVR,29775.39549309045,29873.98951790201,29430.31640625,29430.31640625,29430.31640625,4022600
2025-07-18,GVR,29676.800917741264,30268.365055636437,29479.612871776208,29627.50390625,29627.50390625,6703000
2025-07-21,GVR,30169.771484375,30859.92965558619,30021.880447686886,30169.771484375,30169.771484375,5345100
2025-07-22,GVR,30169.771484375,30859.92965558619,30021.880447686886,30169.771484375,30169.771484375,5345100
2025-07-23,GVR,30071.175915948275,30268.36395474138,29676.79983836207,30021.87890625,30021.87890625,3675700
2025-07-24,GVR,30219.067277450686,30761.334390096617,30169.770267210144,30613.443359375,30613.443359375,6916300
2025-07-25,GVR,31057.11678021327,31697.977920122434,30613.44368335308,31205.0078125,31205.0078125,6627900
2025-07-28,GVR,30859.929413813694,31500.790567774682,30613.44435459793,30958.5234375,30958.5234375,9787300
2025-07-29,GVR,30859.929413813694,31500.790567774682,30613.44435459793,30958.5234375,30958.5234375,9787300
2025-07-30,GVR,31352.898821504237,31550.086864406778,29085.236328125,29085.236328125,29085.236328125,9990800
2025-07-31,GVR,29134.533338850637,29676.800456832625,28542.96921014301,29085.236328125,29085.236328125,4900900
2025-08-01,GVR,29972.58284883721,30514.849972747095,29233.127679869187,29676.80078125,29676.80078125,5841300
2025-08-04,GVR,29183.83120819398,29824.692366482024,29183.83120819398,29479.61328125,29479.61328125,2427700
2025-08-05,GVR,29183.83120819398,29824.692366482024,29183.83120819398,29479.61328125,29479.61328125,2427700
2025-08-06,GVR,29578.207168196994,30514.8503951899,28395.078881469115,29528.91015625,29528.91015625,6630700
2025-08-07,GVR,29627.50336389463,29972.58243801653,29381.018310950414,29824.69140625,29824.69140625,4244400
2025-08-08,GVR,30465.552194282554,31451.492394744775,30317.661164213223,30662.740234375,30662.740234375,8822900
2025-08-11,GVR,30219.067008363687,32240.244410228144,30219.067008363687,32141.650390625,32141.650390625,16551700
2025-08-12,GVR,30219.067008363687,32240.244410228144,30219.067008363687,32141.650390625,32141.650390625,16551700
2025-08-13,GVR,32486.729869871917,32486.729869871917,31451.49265095339,31993.759765625,31993.759765625,5985900
2025-08-14,GVR,32141.65025602986,32733.214371171514,31550.08614088821,32190.947265625,32190.947265625,9515500
2025-08-15,GVR,32240.245783440423,32338.83980724299,31451.493593019863,31648.681640625,31648.681640625,7598600
2025-08-18,GVR,30958.52249015748,31747.27465551181,30859.92846948819,31303.6015625,31303.6015625,4974300
2025-08-19,GVR,30958.52249015748,31747.27465551181,30859.92846948819,31303.6015625,31303.6015625,4974300
2025-08-20,GVR,31550.086887835703,31796.571941646922,31106.413790975515,31205.0078125,31205.0078125,4565400
2025-08-21,GVR,31402.196310292118,32388.136539814634,30712.038149626358,31747.275390625,31747.275390625,9685600
2025-08-22,GVR,32141.65087736593,32979.70005668375,31205.007676951893,31254.3046875,31254.3046875,6927300
2025-08-25,GVR,29479.613501320422,29578.207526408452,27951.406112455985,28000.703125,28000.703125,4989200
2025-08-26,GVR,29479.613501320422,29578.207526408452,27951.406112455985,28000.703125,28000.703125,4989200
2025-08-27,GVR,28099.29690844392,28838.752090245078,27852.811847843535,28789.455078125,28789.455078125,3730100
2025-08-28,GVR,28986.643264901373,29183.83131432247,28592.267166059177,28740.158203125,28740.158203125,2712000
2025-08-29,GVR,29035.940138725386,29035.940138725386,28641.56404176477,28789.455078125,28789.455078125,2640700
2025-09-01,GVR,28789.455078125,28789.455078125,28789.455078125,28789.455078125,28789.455078125,0
2025-09-02,GVR,28789.455078125,28789.455078125,28789.455078125,28789.455078125,28789.455078125,0
2025-09-03,GVR,28641.563769864548,29282.424921341724,28592.26675821246,28888.048828125,28888.048828125,2775000
2025-09-04,GVR,28641.563769864548,29282.424921341724,28592.26675821246,28888.048828125,28888.048828125,2775000
2025-09-05,GVR,29085.236328125,29282.42437102754,28888.048285222456,29085.236328125,29085.236328125,3336000
2025-09-08,GVR,29873.988444010418,29873.988444010418,28395.078125,28395.078125,28395.078125,4599400
2025-09-09,GVR,29873.988444010418,29873.988444010418,28395.078125,28395.078125,28395.078125,4599400
2025-09-10,GVR,28395.078671328672,28592.26671765734,28000.702578671328,28197.890625,28197.890625,2423500
2025-09-11,GVR,28493.671536826412,28493.671536826412,27852.810412295716,27902.107421875,27902.107421875,2812000
2025-09-12,GVR,28197.890217391305,28395.078260869566,27606.32608695652,28345.78125,28345.78125,2590300
2025-09-15,GVR,29085.23731940955,29578.207443467338,28937.34628219221,29430.31640625,29430.31640625,2734300
2025-09-16,GVR,29085.23731940955,29578.207443467338,28937.34628219221,29430.31640625,29430.31640625,2734300
2025-09-17,GVR,29726.097606509975,29726.097606509975,29035.939453125,29035.939453125,29035.939453125,2089300
2025-09-18,GVR,29085.23599697232,29183.83001730104,28493.671875,28493.671875,28493.671875,2606000
2025-09-19,GVR,28592.266167534723,28592.266167534723,28197.890082465277,28395.078125,28395.078125,1614500
2025-09-22,GVR,28296.483498509275,28444.374527247128,27852.810412295716,27902.107421875,27902.107421875,1376400
2025-09-23,GVR,28296.483498509275,28444.374527247128,27852.810412295716,27902.107421875,27902.107421875,1376400
2025-09-24,GVR,28296.48404832073,28296.48404832073,27704.919921875,27704.919921875,27704.919921875,841800
2025-09-25,GVR,27754.21752076049,28197.890625,27606.326486013986,28197.890625,28197.890625,1004700
2025-09-26,GVR,28395.078125,28592.266167534723,28197.890082465277,28395.078125,28395.078125,1186300
2025-09-29,GVR,28197.889615597345,28296.4836352323,27852.810546875,27852.810546875,27852.810546875,827200
2025-09-30,GVR,28197.889615597345,28296.4836352323,27852.810546875,27852.810546875,27852.810546875,827200
2025-10-01,GVR,27852.81205931295,27902.10907180731,27064.0598594032,27310.544921875,27310.544921875,2051500
2025-10-02,GVR,27359.84152336737,27606.326582136444,27359.84152336737,27458.435546875,27458.435546875,690600
2025-10-03,GVR,27507.73209993132,27655.62313272665,26768.276935954673,26916.16796875,26916.16796875,1751100
2025-10-06,GVR,26916.16729525862,27162.65234375,26521.791217672413,27162.65234375,27162.65234375,2309200
2025-10-07,GVR,26916.16729525862,27162.65234375,26521.791217672413,27162.65234375,27162.65234375,2309200
2025-10-08,GVR,27261.246907849636,27507.731961265996,26916.167833066727,26965.46484375,26965.46484375,989500
2025-10-09,GVR,27310.5436446949,27458.43467526184,26916.16756318306,27064.05859375,27064.05859375,1029600
2025-10-10,GVR,27113.356061662947,28148.593293108257,26768.27698451451,27606.326171875,27606.326171875,3675400
2025-10-13,GVR,27507.73273026316,28542.969983552633,27458.435718201756,28099.296875,28099.296875,3580700
2025-10-14,GVR,27507.73273026316,28542.969983552633,27458.435718201756,28099.296875,28099.296875,3580700
2025-10-15,GVR,28345.78175844367,28345.78175844367,27409.138535121183,27458.435546875,27458.435546875,2466800
2025-10-16,GVR,27458.43467526184,27655.62271601776,26866.870552994078,27064.05859375,27064.05859375,2559800
2025-10-17,GVR,27211.950310202206,27310.544333065256,26718.980195886947,26817.57421875,26817.57421875,3624800
2025-10-20,GVR,26620.385597153465,26916.167659344057,24894.990234375,24894.990234375,24894.990234375,3351500
2025-10-21,GVR,26620.385597153465,26916.167659344057,24894.990234375,24894.990234375,24894.990234375,3351500
2025-10-22,GVR,24648.50478284941,25535.850955031987,24155.53468719242,25042.880859375,25042.880859375,3055400
2025-10-23,GVR,25338.663834021227,26127.416015625,25190.772799970517,26127.416015625,26127.416015625,2127900
2025-10-24,GVR,26324.60317887931,26373.900188577587,25733.0390625,25733.0390625,25733.0390625,872300
2025-10-27,GVR,26718.979656135947,27754.21687528513,26718.979656135947,27014.76171875,27014.76171875,3939900
2025-10-28,GVR,26718.979656135947,27754.21687528513,26718.979656135947,27014.76171875,27014.76171875,3939900
2025-10-29,GVR,27113.355334051725,27211.949353448275,26373.900188577587,27162.65234375,27162.65234375,1413900
2025-10-30,GVR,27359.84084811499,28197.89002724644,27064.058784892124,27704.919921875,27704.919921875,3912600
2025-10-31,GVR,27902.107287533072,28148.592334242727,27211.94915674603,27951.404296875,27951.404296875,3349800
2025-11-03,GVR,28690.85943700397,29035.938502397486,27951.404296875,27951.404296875,27951.404296875,5166700
2025-11-04,GVR,28099.296195652172,28542.96929347826,26965.464945652173,28345.78125,28345.78125,3723200
2025-11-05,GVR,28099.296195652172,28542.96929347826,26965.464945652173,28345.78125,28345.78125,3723200
2025-11-06,GVR,29233.127586019164,29479.61264155052,28296.484375,28296.484375,28296.484375,3783400
2025-11-07,GVR,28247.18787587118,28641.563971869382,27409.138671875,27409.138671875,27409.138671875,3195500
2025-11-10,GVR,27704.920330668607,28296.484465843023,27359.841251816862,27557.029296875,27557.029296875,2280900
2025-11-11,GVR,27803.51449092742,27902.10851394489,27310.544375840054,27507.732421875,27507.732421875,1510800
2025-11-12,GVR,27704.920913884005,28099.297012302286,27557.029876977154,28050.0,28050.0,1674100
2025-11-13,GVR,28200.0,29100.0,28200.0,28500.0,28500.0,3905600
2025-11-14,GVR,28500.0,28950.0,28300.0,28400.0,28400.0,2269200
2025-11-17,GVR,28800.0,29250.0,28500.0,29100.0,29100.0,4627400
2025-11-18,GVR,29100.0,29150.0,28250.0,28250.0,28250.0,4239500
2025-11-19,GVR,28350.0,28700.0,27650.0,28000.0,28000.0,2915700
2025-11-20,GVR,28100.0,28450.0,27550.0,28000.0,28000.0,1872300
2025-11-21,GVR,27650.0,27950.0,27450.0,27800.0,27800.0,1915000
2025-11-24,GVR,28000.0,28100.0,27700.0,27700.0,27700.0,884600
2025-11-25,GVR,27600.0,28100.0,27000.0,27100.0,27100.0,2656500
2025-11-26,GVR,27150.0,27800.0,27150.0,27500.0,27500.0,1192000
2025-11-27,GVR,27550.0,27900.0,27500.0,27900.0,27900.0,1797500
2025-11-28,GVR,27900.0,27900.0,27250.0,27300.0,27300.0,2071100
2025-12-01,GVR,27350.0,27600.0,26700.0,26700.0,26700.0,1889700
2025-12-02,GVR,26400.0,27800.0,26400.0,27750.0,27750.0,2666600
2025-12-03,GVR,27750.0,27900.0,27450.0,27700.0,27700.0,2066500
2025-12-04,GVR,27750.0,27900.0,27450.0,27700.0,27700.0,2066500
2025-12-05,GVR,28000.0,28000.0,27200.0,27400.0,27400.0,3578600
2025-12-08,GVR,27450.0,27550.0,26800.0,26950.0,26950.0,3507000
2025-12-09,GVR,26900.0,27150.0,26550.0,26900.0,26900.0,2669000
2025-12-10,GVR,26800.0,27100.0,26750.0,26750.0,26750.0,1098300
