date,ticker,revenue,gross_profit,operating_profit,net_income,eps,total_assets,total_liabilities,equity,total_debt,cash,operating_cash_flow,capital_expenditure,interest_expense,tax_rate,receivables,inventory,payble,current_assets,current_liabilities,COGS,roe,roa,pe,pb,shares_outstanding,bvps,dividend,market_cap,risk_free_rate,market_risk_premium
2025-03-31,AAPL,95359000000.0,44867000000.0,29589000000.0,24780000000.0,1.65,331233000000.0,264437000000.0,66796000000.0,98186000000.0,28162000000.0,23952000000.0,-3071000000.0,3933000000.0,0.15455475946775846,26136000000.0,6269000000.0,54126000000.0,118674000000.0,144571000000.0,50492000000.0,0.3709802982214504,0.07481138654663032,36.584244,41.573,14939315000.0,4.471155471318464,1.08,4432937877504.0,0.045,0.055
2025-06-30,AAPL,94036000000.0,43718000000.0,28202000000.0,23434000000.0,1.57,331495000000.0,265665000000.0,65830000000.0,101698000000.0,36269000000.0,27867000000.0,-3462000000.0,3933000000.0,0.16399700331775535,27557000000.0,5925000000.0,50374000000.0,122491000000.0,141120000000.0,50318000000.0,0.355977517849005,0.07069186563899908,36.584244,41.573,14856722000.0,4.43099090095379,1.08,4432937877504.0,0.045,0.055
2025-09-30,AAPL,102466000000.0,48341000000.0,32427000000.0,27466000000.0,1.85,359241000000.0,285508000000.0,73733000000.0,98657000000.0,35934000000.0,29728000000.0,-3242000000.0,3933000000.0,0.16272405804170223,39777000000.0,5718000000.0,69860000000.0,147957000000.0,165631000000.0,54125000000.0,0.3725062048200941,0.076455638415437,36.584244,41.573,14773260000.0,4.990976940770013,1.08,4432937877504.0,0.045,0.055
2025-12-31,AAPL,143756000000.0,69231000000.0,50852000000.0,42097000000.0,2.85,379297000000.0,291107000000.0,88190000000.0,90509000000.0,45317000000.0,53925000000.0,-2373000000.0,3933000000.0,0.17460099603937101,39921000000.0,5875000000.0,70587000000.0,158104000000.0,162367000000.0,74525000000.0,0.4773443701099898,0.11098690472110247,36.584244,41.573,14697926000.0,6.000166281963863,1.08,4432937877504.0,0.045,0.055
2026-03-31,AAPL,111184000000.0,54781000000.0,35885000000.0,29578000000.0,2.02,371082000000.0,264591000000.0,106491000000.0,84711000000.0,45572000000.0,28702000000.0,-1971000000.0,3933000000.0,0.17455976334663578,30339000000.0,6747000000.0,57349000000.0,144114000000.0,134641000000.0,56403000000.0,0.277751171460499,0.07970745010536755,36.584244,41.573,14667688000.0,7.260244422979272,1.08,4432937877504.0,0.045,0.055
