date,ticker,revenue,gross_profit,operating_profit,net_income,eps,total_assets,total_liabilities,equity,total_debt,cash,operating_cash_flow,capital_expenditure,interest_expense,tax_rate,receivables,inventory,payble,current_assets,current_liabilities,COGS,roe,roa,pe,pb,shares_outstanding,bvps,dividend,market_cap,risk_free_rate,market_risk_premium
2025-03-31,HPG,37621674553578.0,5424153925132.0,4339094411460.0,3344284694388.0,,228861587788307.0,110864708699178.0,117700932170362.0,89041478690313.0,7459035818129.0,,,627024360692.0,0.12760152988542633,7405241282190.0,46603844415849.0,11710046001326.0,88914195573724.0,77298523955478.0,32197520628446.0,0.0284134087361979,0.014612695501708243,7.634168,1.3246653,,,454.55,169627787198464.0,0.045,0.055
2025-06-30,HPG,35910519111209.0,6589722485709.0,5442064704912.0,4256487211764.0,504.14093,242224530919050.0,119865026005768.0,121534257223755.0,90591327760300.0,10688024277258.0,3313408213639.0,-4547636827577.0,439112631420.0,0.1423581646574774,8193996548327.0,48853408114115.0,18548121348160.0,97606077663535.0,86411629011696.0,29320796625500.0,0.035022941753183566,0.017572486137609623,7.634168,1.3246653,8443050264.0,14394.591222790688,454.55,169627787198464.0,0.045,0.055
2025-09-30,HPG,36407416403924.0,6087261275166.0,4571024716176.0,4012252316723.0,,246171338287652.0,,127516012099269.0,68482383626253.0,9092562739415.0,0.0,-13174576334243.0,-812194101705.0,-0.13310699444026983,13727194725111.0,45623656431728.0,8529818586842.0,95425988115582.0,83163272833172.0,-30320155128758.0,0.03146469412484082,0.016298616827742432,7.634168,1.3246653,,,454.55,169627787198464.0,0.045,0.055
2025-12-31,HPG,46176484549771.0,6396650497175.0,5714129019562.0,3860994446656.0,457.300575,257899200817547.0,126679189940972.0,129180998100172.0,92174151302217.0,8300890304205.0,8564297977440.0,-1885559821997.0,1236524775157.0,0.1547304609342993,10971774018235.0,52828227344442.0,21183376049432.0,103659402759724.0,94186268324508.0,39779834052596.0,0.02988825371717622,0.014970943819975206,7.634168,1.3246653,8443012440.0,15300.3443993708,454.55,169627787198464.0,0.045,0.055
2026-03-31,HPG,52900847302653.0,8365068607995.0,6634197704291.0,8994003244142.0,1065.259978,259327500205228.0,119545707998756.0,138944576706408.0,90616821692319.0,11455231038505.0,6816755450021.0,-5489839982929.0,1333414699291.0,0.15854269588412243,10919196457706.0,43515585272210.0,17164200903296.0,104365180994071.0,86369839061570.0,44535778694658.0,0.06473086936776572,0.034682026537965614,7.634168,1.3246653,8443012440.0,16456.753758662944,454.55,169627787198464.0,0.045,0.055
2026-06-30,HPG,55158902298901.0,10487787193431.0,8462387126874.0,6371019004563.0,830.049814,278929786015406.0,137413759457075.0,140857850168391.0,98529977232553.0,9782057360909.0,5253680177765.0,-6703186347074.0,1519613868123.0,0.10580979182721162,12869807539960.0,55607877088316.0,26690134352803.0,119968988620841.0,105037075079739.0,44671115105470.0,0.045230130922391996,0.022840941785296148,7.634168,1.3246653,7675465855.0,18351.700447814837,454.55,169627787198464.0,0.045,0.055
