date,ticker,open,high,low,close,adj_close,volume
2025-03-06,HPG,20533.703695343862,20794.09375,20533.703695343862,20794.09375,20794.09375,48807792
2025-03-07,HPG,20831.293332951805,20905.691042048195,20645.299060210822,20868.4921875,20868.4921875,43733184
2025-03-10,HPG,20905.690309735433,20980.08801622572,20794.09375,20794.09375,20794.09375,31126260
2025-03-11,HPG,20533.703213833585,20942.888671875,20533.703213833585,20942.888671875,20942.888671875,34436820
2025-03-12,HPG,20980.088885161527,20980.088885161527,20682.498046875,20682.498046875,20682.498046875,27246912
2025-03-13,HPG,20719.696169790583,20868.49158367803,20608.099609375,20608.099609375,20608.099609375,32748408
2025-03-14,HPG,20608.100506589188,20719.69707186335,20496.505859375,20496.505859375,20496.505859375,24129468
2025-03-17,HPG,20756.894164432735,20942.88842409641,20645.29760863453,20719.6953125,20719.6953125,26030004
2025-03-18,HPG,20756.894320211635,20868.490876847365,20533.703125,20533.703125,20533.703125,24739044
2025-03-19,HPG,20533.70448270064,20533.70448270064,20161.71593598544,20273.3125,20273.3125,50061792
2025-03-20,HPG,20310.51062249158,20422.10718248316,20124.516355838947,20198.9140625,20198.9140625,33029700
2025-03-21,HPG,20161.715209169473,20273.311769161053,20124.516355838947,20198.9140625,20198.9140625,24964104
2025-03-24,HPG,20198.9140625,20273.311769161053,20012.919795847367,20198.9140625,20198.9140625,21423336
2025-03-25,HPG,20273.312135252258,20384.908697259023,20161.71557324549,20236.11328125,20236.11328125,26533320
2025-03-26,HPG,20236.113873735292,20794.094782046122,20198.915018643907,20496.505859375,20496.505859375,58053600
2025-03-27,HPG,20608.100140285813,20608.100140285813,20422.107786194814,20459.306640625,20459.306640625,15852804
2025-03-28,HPG,20422.10718248316,20459.306035813686,20161.715209169473,20198.9140625,20198.9140625,22532664
2025-03-31,HPG,20124.51738521458,20161.716240447844,19901.326171875,19901.326171875,19901.326171875,35028048
2025-04-01,HPG,19938.524857765675,20124.517214292322,19901.326002848353,20087.318359375,20087.318359375,18504288
2025-04-02,HPG,20198.91479065696,20384.90906401456,20161.71593598544,20273.3125,20273.3125,22156728
2025-04-03,HPG,19194.549456018194,19678.132646303973,18859.759765625,18859.759765625,18859.759765625,106518456
