date,ticker,revenue,gross_profit,operating_profit,net_income,eps,total_assets,total_liabilities,equity,total_debt,cash,operating_cash_flow,capital_expenditure,interest_expense,tax_rate,receivables,inventory,payble,current_assets,current_liabilities,COGS,roe,roa,pe,pb,shares_outstanding,bvps,dividend,market_cap,risk_free_rate,market_risk_premium
2025-03-31,MSFT,70066000000.0,48147000000.0,32000000000.0,25824000000.0,3.47,562624000000.0,240733000000.0,321891000000.0,60567000000.0,28828000000.0,37044000000.0,-16745000000.0,594000000.0,0.17697676642126398,51700000000.0,848000000.0,26250000000.0,156644000000.0,114206000000.0,21919000000.0,0.08022591498364354,0.045899215106358776,24.819048,7.4754825,7433982235.0,43.29994205319755,3.64,3097360072704.0,0.045,0.055
2025-06-30,MSFT,76441000000.0,52427000000.0,34323000000.0,27233000000.0,3.66,619003000000.0,275524000000.0,343479000000.0,60588000000.0,30242000000.0,42647000000.0,-17079000000.0,615000000.0,0.16504169732646554,69905000000.0,938000000.0,27724000000.0,191131000000.0,141218000000.0,24014000000.0,0.07928577875212167,0.043994940250693455,24.819048,7.4754825,7434158655.0,46.20280733032055,3.64,3097360072704.0,0.045,0.055
2025-09-30,MSFT,77673000000.0,53630000000.0,37961000000.0,27747000000.0,3.73,636351000000.0,273275000000.0,363076000000.0,60556000000.0,28849000000.0,45057000000.0,-19394000000.0,698000000.0,0.191073146555494,52894000000.0,1130000000.0,32580000000.0,189066000000.0,134996000000.0,24043000000.0,0.07642201632716016,0.04360329440827468,24.819048,7.4754825,7433087554.0,48.845919997890554,3.64,3097360072704.0,0.045,0.055
2025-12-31,MSFT,81273000000.0,55295000000.0,38275000000.0,38458000000.0,5.18,665302000000.0,274427000000.0,390875000000.0,57607000000.0,24296000000.0,35758000000.0,-29876000000.0,736000000.0,0.20287692243916594,56535000000.0,1059000000.0,37328000000.0,180190000000.0,130005000000.0,25978000000.0,0.09838951071314359,0.05780532750540356,24.819048,7.4754825,7428838066.0,52.61589989273566,3.64,3097360072704.0,0.045,0.055
2026-03-31,MSFT,82886000000.0,56058000000.0,38398000000.0,31778000000.0,4.28,694228000000.0,279861000000.0,414367000000.0,56965000000.0,32105000000.0,46679000000.0,-30876000000.0,778000000.0,0.1922216573462125,60041000000.0,1219000000.0,37513000000.0,175329000000.0,136661000000.0,26828000000.0,0.07669047004225722,0.045774587023283415,24.819048,7.4754825,7429000000.0,55.77695517566294,3.64,3097360072704.0,0.045,0.055
