date,ticker,revenue,gross_profit,operating_profit,net_income,eps,total_assets,total_liabilities,equity,total_debt,cash,operating_cash_flow,capital_expenditure,interest_expense,tax_rate,receivables,inventory,payble,current_assets,current_liabilities,COGS,roe,roa,pe,pb,shares_outstanding,bvps,dividend,market_cap,risk_free_rate,market_risk_premium
2025-03-31,GVR,5676961736513.0,1636979508579.0,1125306140278.0,1184647986486.0,292.0,83239803543991.0,23156601748820.0,54375862866918.0,6833025379604.0,5298973931543.0,,,69400548964.0,0.1332661292968707,1309532680645.0,4742160686716.0,677220699414.0,28554103345917.0,10057698229837.0,4039982227934.0,0.02178628391397415,0.01423174894760451,19.364649,2.1353288,4000000000.0,13593.9657167295,400.0,129399999430656.0,0.045,0.055
2025-06-30,GVR,6016671526981.0,1626477963982.0,992798025776.0,1403971688666.0,351.0,83508600413928.0,21457384730228.0,56323630944293.0,4709785934012.0,5700308461229.0,1236359836673.0,-222390544380.0,67716140218.0,0.1707789632642367,1346508540593.0,5086043282912.0,946954242886.0,29120097136404.0,8793301694359.0,4390193562999.0,0.02492686755324068,0.016812300549966328,19.364649,2.1353288,4000000000.0,14080.90773607325,400.0,129399999430656.0,0.045,0.055
2025-09-30,GVR,9294402677445.0,2648291685988.0,2159849528349.0,2187281385238.0,,84839406230403.0,,63932980593225.0,1421575241010.0,7488462214080.0,136923951424.0,-137228097635.0,-58280913113.0,-0.16481955025104406,3129221937738.0,5148711193863.0,766654385787.0,30912273267619.0,8231094536378.0,-6646110991457.0,0.03421209780840074,0.025781432030510452,19.364649,2.1353288,,,400.0,129399999430656.0,0.045,0.055
2025-12-31,GVR,8505654929386.0,2482449743213.0,1105247775398.0,1001028183272.0,250.0,86282461490860.0,24080878789838.0,56356745908915.0,2972916618455.0,8237433366831.0,2605961433762.0,-613195036201.0,55276605227.0,0.19278475876611859,1545717198992.0,6722923911408.0,977560282259.0,32904606406685.0,10940794561573.0,6023205186174.0,0.017762348892355912,0.011601757367318966,19.364649,2.1353288,4000000000.0,14089.18647722875,400.0,129399999430656.0,0.045,0.055
2026-03-31,GVR,8845157076569.0,2336688814083.0,1690512234737.0,2250751648382.0,556.0,87178899384779.0,22194178753373.0,58878990246425.0,2635460584216.0,8927732424840.0,2626503751251.0,-209898693868.0,40516611306.0,0.15114111251365803,1461358154609.0,4262967737456.0,798027402510.0,34159898483536.0,8269602595201.0,6508468262486.0,0.03822673654833374,0.02581761944995339,19.364649,2.1353288,4000000000.0,14719.74756160625,400.0,129399999430656.0,0.045,0.055
2026-06-30,GVR,7097360530343.0,2166717217804.0,1181209293443.0,2288744719412.0,572.0,90263949529178.0,23382593244952.0,60599568581638.0,2598964458918.0,8280810782777.0,2525111710826.0,-355031710160.0,37654876400.0,0.1682676486190848,1374899919541.0,4084618522195.0,926677272197.0,37897604212888.0,9030098286096.0,4930643312539.0,0.03776833355387124,0.025356133111283357,19.364649,2.1353288,4000000000.0,15149.8921454095,400.0,129399999430656.0,0.045,0.055
